Primary Legend,Secondary Legend,Suffix,StemDistanceX,CoefficientX,CoefficientY,LayoutTag
Space,,R1,50,6.25,1,Both
*,,R4,12,1,1,Both
+,,R2,12,1,2,Both
",",<,R1,12,1,1,Both
-,,R4,12,1,1,Both
-,_,R3,12,1,1,Both
.,,R1,12,1,1,Both
.,>,R1,12,1,1,Both
/,,R4,12,1,1,Both
/,?,R1,12,1,1,Both
0,,R1,12,2,1,Both
0,),R3,12,1,1,Both
1,,R1,12,1,1,Both
1,!,R3,12,1,1,Both
2,,R1,12,1,1,Both
2,@,R3,12,1,1,Both
3,,R1,12,1,1,Both
3,#,R3,12,1,1,Both
4,,R2,12,1,1,Both
4,$,R3,12,1,1,Both
5,,R2,12,1,1,Both
5,%,R3,12,1,1,Both
6,,R2,12,1,1,Both
6,^,R3,12,1,1,Both
7,,R2,12,1,1,Both
7,&,R3,12,1,1,Both
8,,R2,12,1,1,Both
8,*,R3,12,1,1,Both
9,,R2,12,1,1,Both
9,(,R3,12,1,1,Both
;,:,R2,12,1,1,Both
=,+,R3,12,1,1,Both
A,,R2,12,1,1,Both
Alt,,R1,12,1.25,1,Both
B,,R1,12,1,1,Both
Backspace,,R3,12,2,1,Both
C,,R1,12,1,1,Both
Caps,,R2,12,1.75,1,Both
Ctrl,,R1,12,1.25,1,Both
D,,R2,12,1,1,Both
Del,,R2,12,1,1,Both
E,,R2,12,1,1,Both
End,,R2,12,1,1,Both
Enter,,R1,12,1,2,Both
Esc,,R4,12,1,1,Both
F,,R2,12,1,1,Both
F1,,R4,12,1,1,Both
F10,,R4,12,1,1,Both
F11,,R4,12,1,1,Both
F12,,R4,12,1,1,Both
F2,,R4,12,1,1,Both
F3,,R4,12,1,1,Both
F4,,R4,12,1,1,Both
F5,,R4,12,1,1,Both
F6,,R4,12,1,1,Both
F7,,R4,12,1,1,Both
F8,,R4,12,1,1,Both
F9,,R4,12,1,1,Both
Fn,,R1,12,1.25,1,Both
G,,R2,12,1,1,Both
H,,R2,12,1,1,Both
Home,,R4,12,1,1,Both
I,,R2,12,1,1,Both
J,,R2,12,1,1,Both
K,,R2,12,1,1,Both
L,,R2,12,1,1,Both
M,,R1,12,1,1,Both
Menu,,R1,12,1.25,1,Both
N,,R1,12,1,1,Both
Num,,R4,12,1,1,Both
O,,R2,12,1,1,Both
P,,R2,12,1,1,Both
Pause,,R4,12,1,1,Both
PgDn,,R2,12,1,1,Both
PgUp,,R4,12,1,1,Both
PrtSc,,R4,12,1,1,Both
Q,,R2,12,1,1,Both
R,,R2,12,1,1,Both
S,,R2,12,1,1,Both
ScrLk,,R4,12,1,1,Both
T,,R2,12,1,1,Both
Tab,,R2,12,1.5,1,Both
U,,R2,12,1,1,Both
V,,R1,12,1,1,Both
W,,R2,12,1,1,Both
Win,,R1,12,1.25,1,Both
X,,R1,12,1,1,Both
Y,,R2,12,1,1,Both
Z,,R1,12,1,1,Both
[,{,R2,12,1,1,Both
],},R2,12,1,1,Both
`,~,R3,12,1,1,Both
←,,R1,12,1,1,Both
↑,,R1,12,1,1,Both
→,,R1,12,1,1,Both
↓,,R1,12,1,1,Both
',"""",R2,12,1,1,ANSI
Enter,,R2,12,2.25,1,ANSI
Ins,,R4,12,1,1,ANSI
Shift,,R1,12,2.25,1,ANSI
Shift,,R1,12,2.75,1,ANSI
\,|,R2,12,1.5,1,ANSI
#,~,R2,12,1,1,ISO
',@,R2,12,1,1,ISO
AltGr,,R1,12,1.25,1,ISO
Enter,,R2,12,1.5,1,ISO
Shift,,R1,12,1.25,1,ISO
Shift,,R1,12,1.75,1,ISO
\,|,R1,12,1,1,ISO
